0,1,2,3,4
773.15,1455311.16172801,1691872.09961457,1857845.10653609,1983371.47368247
798.15,1323411.0092346,1540393.41135813,1692618.27095674,1808295.92575184
823.15,1197441.45485418,1396214.49056387,1535775.17764087,1641370.3270642
848.15,1073576.54133526,1253982.66340649,1380770.23805385,1476766.0631106
873.15,955381.499634405,1117163.5390872,1230787.65193615,1316766.82194734
898.15,841274.903021922,985459.965429342,1086814.75699681,1163557.32097933
923.15,730264.424310419,856309.896480443,944831.28044142,1011820.06640162
948.15,626105.939760001,735462.91379733,812325.561257506,870509.58097127
973.15,523595.965033379,616129.11026956,681216.052215337,730511.91167243
998.15,423353.455727232,499007.275238806,552248.144371767,592587.58004445
1023.15,324689.722475625,383385.841609874,424721.637842887,456054.001480744
