Epochs_needed
540
501
504
910
500
995
512
500
500
828
504
500
597
511
501
500
514
682
749
614
889
1142
504
532
500
500
500
558
511
641
605
535
509
841
508
679
889
550
528
511
500
529
644
500
983
511
592
522
708
500
832
507
723
645
528
520
570
540
500
555
500
611
500
500
570
504
500
1206
511
500
622
566
520
501
523
514
511
791
538
758
732
500
569
500
511
547
663
514
500
547
500
528
504
504
772
507
892
511
511
564
514
506
751
521
546
504
536
501
500
513
511
500
612
504
504
542
500
504
521
526
500
504
500
573
950
536
580
500
503
500
510
672
558
708
558
521
504
500
542
527
504
500
546
635
510
511
522
500
640
531
500
504
500
1010
610
514
529
523
504
507
500
511
504
889
529
533
507
500
526
521
705
500
521
504
506
614
500
511
500
504
500
504
531
521
522
539
500
504
500
542
807
553
503
566
500
641
586
522
500
605
568
550
620
573
939
542
671
609
606
636
504
