0,1,2,3,4
563.15,562383.691637853,857802.978131411,1078162.18644534,1253498.96675549
588.15,570565.703930854,866519.356188888,1086269.77929689,1260664.30837643
613.15,567594.84441048,857095.503884982,1069805.80999298,1237249.50205063
638.15,560283.322659163,841121.650326455,1045227.89225645,1204545.23798861
663.15,548579.116539479,818973.087500584,1013697.10576419,1164641.47661342
688.15,531663.786482548,789496.278944562,973536.419911656,1115234.28416733
713.15,510097.780283286,753773.838880512,926593.556080436,1059015.86023724
738.15,485204.12622644,713777.789070382,874833.100827552,997620.453626411
763.15,457658.955470422,670478.073269269,819633.127664293,933088.628846815
788.15,430258.988959363,627635.33715155,765511.751815833,869939.078599218
813.15,402933.261076311,585204.455822852,711958.360397036,807631.882450896
838.15,377046.942948828,544919.921665144,660998.624315226,748237.495736157
