0,1,2,3,4
563.15,530816.538206284,816242.560364784,1031228.81213968,1203611.27369678
588.15,539515.798764542,825606.122380937,1040144.07903712,1211721.72174035
613.15,537321.113844125,817566.401689601,1025604.33395089,1190677.01498508
638.15,530939.07194131,803196.122330965,1003189.45720696,1160578.28275277
663.15,520368.380047955,782823.729240282,973919.039763291,1123292.04427671
688.15,504746.223078443,755307.367439933,936186.576235929,1076640.59122777
713.15,484664.513194953,721677.544961565,891712.937911849,1023127.90676894
738.15,461295.872581639,683814.957502171,842447.409971106,964446.784207684
763.15,435394.289506123,642681.224122152,789722.847328213,902517.388005467
788.15,409556.544629023,601936.356004544,737935.622071811,841856.756069275
813.15,383779.160739164,561547.365412992,686669.275230603,781956.756095422
838.15,359371.6616938,523225.424295823,637917.36818321,724892.789796971
