0,1,2,3,4
563.15,515091.740473247,794697.402190748,1006394.10752419,1176840.56851395
588.15,523899.460310548,804245.52949308,1015582.55689463,1185298.77369865
613.15,522023.35911782,796845.012256011,1001974.81757247,1165433.78894035
638.15,516055.062082362,783247.803796362,980640.10967614,1136664.75662774
663.15,506007.545366627,763748.587801615,952514.292416513,1100728.95415781
688.15,491008.734875837,737223.152050285,916039.146466709,1055528.02134485
713.15,471655.16798456,704665.011960974,872857.864949883,1003452.853657
738.15,449052.651706148,667913.72873566,824918.123127271,946234.950171995
763.15,423984.459678462,627916.714574956,773518.212200248,885713.330820244
788.15,398937.587556503,588273.342296697,722980.85131384,826408.852954912
813.15,373948.137036459,548960.14812753,672943.185523221,767820.437217073
838.15,350290.553414577,511669.704250665,625374.872435506,712023.857162332
