0,1,2,3,4
563.15,585212.41486132,886124.039848854,1109188.55910275,1285812.65992987
588.15,592675.720268835,894066.905718582,1116434.94693895,1292037.72821883
613.15,589001.860174809,883552.226329009,1098547.89030399,1266934.1073082
638.15,580920.21960482,866382.79086108,1072435.27198489,1232436.77197221
663.15,568312.33008755,842938.15970826,1039324.13885513,1190751.59158568
688.15,550424.037607936,812086.245841337,997519.635253147,1139522.17687487
713.15,527764.345369363,774917.14764741,948924.202149142,1081531.70490732
738.15,501787.503443465,733486.179840817,895534.485085189,1018400.44333751
763.15,473120.630174264,688744.027861605,838732.583180197,952205.319228199
788.15,444588.094454311,644500.576215637,783096.791372745,887486.223631893
813.15,416180.592603896,600715.766023528,728069.474605458,823658.848634766
838.15,389256.301068959,559125.187156416,675682.490765571,762788.451312651
