x,y,z,foc,aim x,aim y,aim z
m,m,m,m,m,m,m
7.063423060282414,87.49619460680138,7.0,212.02470614529759,0.0,0.0,200.0
21.007330233831308,85.23008912612109,7.0,212.02470614529759,0.0,0.0,200.0
34.4071585889667,80.75656910637971,7.0,212.02470614529759,0.0,0.0,200.0
