hst_idx,area,sample,cos,shade,incoming,in-mat-loss,in-atm-loss,absorbed,abs-mat-loss,abs-atm-loss,vir_incoming,vir_in-mat-loss,vir_in-atm-loss,vir_absorbed,vir_abs-mat-loss,vir_abs-atm-loss,,,total,cos,shad,hst_abs,block,atm,spil,rec_refl,rec_abs
1,100.004,33419,0.991626,0,85975.8,9552.86,0.0,85975.8,9552.86,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-,-,100004.0,837.433496,0.0,9916.6566504,3276.1098536,-1.0,-1.0,0.0,85975.8
0,100.004,33381,0.993277,0,86461.5,9606.84,0.0,86461.5,9606.84,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-,-,100004.0,672.326892,0.0,9933.1673108,2939.0057972,-1.0,-1.0,0.0,86461.5
2,100.004,33200,0.988395,0,84179.6,9353.28,0.0,84179.6,9353.28,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-,-,100004.0,1160.54642,0.0,9884.345358,4781.508222,-1.0,-1.0,0.0,84179.6
