name,value,error
sun_azimuth,270,
sun_elevation,52.56,
num hst,1,
num rays,100000.0,
potential flux,82082.7,0.0
absorbed flux,70795.9,42.7942
Cosine factor,0.993338,2.4728e-06
shadow loss,2.44653,1.41249
Mising loss,2584.11,42.7691
materials loss,8153.34,0.142843
atomospheric loss,0.0,0.0
,,
Target,,
area,100.0,
front income flux,0.0,0.0
back income flux,70795.9,42.7942
front absorbed flux,0.0,0.0
back absorbed flux,70795.9,42.7942
front efficiency,0.0,0.0
back efficiency,0.862495,0.000521355
,,
Virtual plane,,
area,40000.0,
income flux,0.0,0.0
