Name,Value,+/-Error
Qall (kW),82.0827,0.0
Qcos (kW),0.5468349474,0.00020297410056
Qshad (kW),0.00244653,0.00141249
Qfield_abs (kW),8.15334185226,0.000142699911899
Qblcok (kW),2.58417667034,0.0428134672515
Qatm (kW),0.0,0.0
Qspil (kW),0.0,0.0
Qrefl (kW),0.0,0.0605201380309
Qabs (kW),70.7959,0.0427942
rays,100000.0,-
