,#1,,,,,,,,,,
,double data(8760,11),,,,,,,,,
96,345600,0,0,0,3.3,-9.4,39,949,0,0,-9900
97,349200,0,0,0,3.3,-8,40,949,0,0,-9900
98,352800,0,0,0,3.3,-7.4,42,949,0,0,-9900
99,356400,0,0,0,3.3,-8.3,43,948,0,0,-9900
100,360000,0,0,0,4.2,-6.7,42,948,0,0,-9900
101,363600,0,0,0,5.2,-6.5,40,948,0,0,-9900
102,367200,0,0,0,6.1,-6.7,39,948,0,0,-9900
103,370800,57,0,38,8,-5.8,35,947,1.7,310,-9900
104,374400,198,198,87,9.8,-5.8,31,947,3.5,310,-9900
105,378000,371,425,158,11.7,-6.7,27,947,5.2,310,-9900
106,381600,463,537,194,14.1,-7,21,946,8.8,290,-9900
107,385200,504,550,197,16.5,-9.1,15,944,12.3,280,-9900
108,388800,397,574,215,18.9,-15,9,942,15.9,260,-9900
109,392400,445,346,139,17.4,-6.3,18,942,14.7,270,-9900
110,396000,306,654,90,15.9,-3.2,26,942,13.6,270,-9900
111,399600,184,593,36,14.4,-1.1,35,942,12.4,280,-9900
112,403200,41,672,18,12.6,-0.3,41,943,12.6,280,-9900
113,406800,0,233,0,10.7,-0.4,46,944,12.7,280,-9900
114,410400,0,0,0,8.9,-0.6,52,945,12.9,280,-9900
115,414000,0,0,0,7.6,-0.8,55,947,10.7,280,-9900
116,417600,0,0,0,6.3,-1,59,949,8.4,290,-9900
117,421200,0,0,0,5,-1.7,62,952,6.2,290,-9900
118,424800,0,0,0,4.4,-3,57,953,4.8,290,-9900
119,428400,0,0,0,3.9,-4.2,53,953,3.5,280,-9900
120,432000,0,0,0,3.3,-6.7,48,954,2.1,280,-9900
121,435600,0,0,0,2.8,-7.6,43,954,1.4,290,-9900
122,439200,0,0,0,2.2,-9.8,37,955,0.7,300,-9900
123,442800,0,0,0,1.7,-13.3,32,955,0,0,-9900
124,446400,0,0,0,1.1,-13.4,29,956,0,0,-9900
125,450000,0,0,0,0.6,-14.5,27,956,0,0,-9900
126,453600,0,0,0,0,-18.3,24,956,0,0,-9900
127,457200,65,0,19,2.4,-15.4,22,957,0.7,10,-9900
