0,1,2,3,4
773.15,1520963.22093465,1742296.93500769,1898448.42371117,2017037.47684645
798.15,1383270.2422491,1586388.86317786,1729827.67017547,1839182.15700473
823.15,1251894.32483752,1438127.08607791,1569581.4933999,1669441.82842609
848.15,1122645.95898756,1291814.52680535,1411323.50707679,1502163.44026941
873.15,999111.661475416,1150879.95342553,1258020.69405093,1339407.49480165
898.15,879959.444726997,1015333.60043576,1110972.87424715,1183661.75135635
923.15,763865.956634383,882252.423226713,965807.948246306,1029381.1421654
948.15,655033.455611576,757830.160186869,830431.616201611,885590.93425271
973.15,547881.12720954,634933.131774711,696454.774534963,743217.56153863
998.15,443051.930793298,514277.709464045,564635.599726669,602922.037150462
1023.15,339848.234183575,395153.100284291,434275.970979882,464032.622523222
