0,1,2,3,4
773.15,1639370.6329534,1832810.14676064,1970895.69586166,2076690.292598
798.15,1491338.19871788,1669026.16134528,1796286.46953955,1893959.26433357
823.15,1350339.70972273,1513513.07740216,1630010.70769952,1719268.30062785
848.15,1211480.29321864,1359936.1356685,1465989.80195539,1547280.74148347
873.15,1078348.73275566,1211640.5490264,1306782.021902,1379658.05049758
898.15,950148.425732714,1069226.06229739,1154267.41337209,1219431.19994764
923.15,824880.863437726,929086.737331992,1003427.39092351,1060649.98094841
948.15,707630.668901606,798251.667032358,862931.04150733,912463.796129723
973.15,592092.369446501,668951.302399332,723830.669636829,765871.20866937
998.15,478957.732493806,541931.03659142,586905.971766548,621363.65414954
1023.15,367512.39308118,416482.147593633,451467.98122238,478279.466731253
