deviation_load,deviation_T_in,deviation_T_amb_input,deviation_eta_Q
0.0,50.000000000000114,0.0,0.19840099999999994
0.0,48.87755100000004,0.0,0.19298599999999988
0.0,47.75510200000008,0.0,0.188651
0.0,46.63265300000012,0.0,0.18400799999999995
0.0,45.51020399999993,0.0,0.17970799999999998
0.0,44.3877550000002,0.0,0.17499199999999993
0.0,43.26530600000024,0.0,0.170319
0.0,42.14285700000005,0.0,0.16543700000000006
0.0,41.02040800000009,0.0,0.16144500000000006
0.0,39.89795900000013,0.0,0.15548299999999993
0.0,38.77550999999994,0.0,0.1520649999999999
0.0,37.65306099999998,0.0,0.14761299999999988
0.0,36.53061200000002,0.0,0.14287399999999995
0.0,35.408163000000286,0.0,0.13809300000000002
0.0,34.2857140000001,0.0,0.1335139999999999
0.0,33.16326500000014,0.0,0.12899799999999995
0.0,32.04081600000018,0.0,0.123718
0.0,30.91836699999999,0.0,0.11938099999999996
0.0,29.79591800000003,0.0,0.11868500000000004
0.0,28.67346900000007,0.0,0.11034799999999989
0.0,27.551020000000108,0.0,0.10893399999999998
0.0,26.428571000000147,0.0,0.10453299999999999
0.0,25.306122000000187,0.0,0.09893099999999988
0.0,24.183673000000226,0.0,0.09419600000000006
0.0,23.06122400000004,0.0,0.08932000000000007
0.0,21.93877599999996,0.0,0.08444099999999999
0.0,20.816327,0.0,0.08040899999999995
0.0,19.69387800000004,0.0,0.07562599999999997
0.0,18.57142900000008,0.0,0.07097500000000001
0.0,17.44898000000012,0.0,0.06640099999999993
0.0,16.32653100000016,0.0,0.06183099999999986
0.0,15.204082000000199,0.0,0.05770300000000006
0.0,14.08163300000001,0.0,0.05307800000000007
0.0,12.95918400000005,0.0,0.04821399999999987
0.0,11.83673500000009,0.0,0.04345100000000002
0.0,10.71428600000013,0.0,0.038883
0.0,9.591836999999941,0.0,0.034753000000000034
0.0,8.469388000000208,0.0,0.02981800000000001
0.0,7.346939000000248,0.0,0.025546999999999875
0.0,6.22449000000006,0.0,0.020977000000000023
0.0,5.102041000000099,0.0,0.016346000000000083
0.0,3.979592000000139,0.0,0.013608999999999982
0.0,2.857142999999951,0.0,0.007371999999999934
0.0,1.7346939999999904,0.0,0.003130999999999884
0.0,0.6122450000000299,0.0,-0.00048199999999998244
0.0,-0.5102039999999306,0.0,-0.00031599999999998296
0.0,-1.632652999999891,0.0,0.02081299999999986
0.0,-2.7551019999998516,0.0,-0.0030719999999999636
0.0,-3.877550999999812,0.0,-0.003338000000000063
0.0,-5.0,0.0,-0.0038679999999999826
0.55,0.0,0.0,0.546656
0.533673,0.0,0.0,0.530172
0.517347,0.0,0.0,0.5124869999999999
0.50102,0.0,0.0,0.49688899999999997
0.48469399999999996,0.0,0.0,0.480194
0.468367,0.0,0.0,0.46475200000000005
0.452041,0.0,0.0,0.44828900000000005
0.43571400000000005,0.0,0.0,0.432299
0.419388,0.0,0.0,0.417218
0.403061,0.0,0.0,0.400748
0.38673500000000005,0.0,0.0,0.38343099999999997
0.37040799999999996,0.0,0.0,0.36641599999999996
0.354082,0.0,0.0,0.35028799999999993
0.337755,0.0,0.0,0.334222
0.32142899999999996,0.0,0.0,0.315971
0.3051020000000001,0.0,0.0,0.301701
0.28877600000000003,0.0,0.0,0.286257
0.27244899999999994,0.0,0.0,0.27015100000000003
0.25612200000000007,0.0,0.0,0.25340799999999997
0.239796,0.0,0.0,0.237587
0.22346899999999992,0.0,0.0,0.2209779999999999
0.20714300000000008,0.0,0.0,0.2042409999999999
0.19081599999999999,0.0,0.0,0.188137
0.17448999999999992,0.0,0.0,0.1713659999999999
0.15816299999999994,0.0,0.0,0.15604699999999994
0.1418370000000001,0.0,0.0,0.13858099999999995
0.12551,0.0,0.0,0.12154399999999999
0.10918400000000006,0.0,0.0,0.10796499999999998
0.09285699999999997,0.0,0.0,0.08979500000000007
0.0765309999999999,0.0,0.0,0.07291999999999998
0.060204000000000035,0.0,0.0,0.05621799999999999
0.043878000000000084,0.0,0.0,0.03953099999999987
0.027550999999999992,0.0,0.0,0.023168999999999995
0.011224000000000012,0.0,0.0,0.007221999999999951
-0.00510199999999994,0.0,0.0,-0.0019690000000001096
-0.021429000000000142,0.0,0.0,-0.0034280000000002087
-0.03775499999999998,0.0,0.0,-0.0050760000000000804
-0.05408199999999996,0.0,0.0,-0.006812999999999958
-0.07040800000000003,0.0,0.0,-0.008301000000000114
-0.086735,0.0,0.0,-0.009875999999999996
-0.10306100000000007,0.0,0.0,-0.011144000000000043
-0.11938799999999983,0.0,0.0,-0.012401000000000106
-0.1357139999999999,0.0,0.0,-0.01374300000000006
-0.1520410000000001,0.0,0.0,-0.014529000000000014
-0.16836699999999993,0.0,0.0,-0.015624000000000082
-0.18469400000000014,0.0,0.0,-0.016741000000000117
-0.20101999999999998,0.0,0.0,-0.017541999999999947
-0.21734699999999996,0.0,0.0,-0.01854
-0.23367300000000002,0.0,0.0,-0.019525000000000015
-0.25,0.0,0.0,-0.020378000000000007
0.0,0.0,54.99999999999997,-0.003145999999999982
0.0,0.0,53.571428999999995,-0.0031450000000000644
0.0,0.0,52.142856999999935,-0.003142000000000089
0.0,0.0,50.71428599999996,-0.003142000000000089
0.0,0.0,49.285713999999984,-0.0031410000000000604
0.0,0.0,47.85714300000001,-0.0031400000000000317
0.0,0.0,46.42857099999998,-0.003139000000000003
0.0,0.0,45.0,-0.003137999999999974
0.0,0.0,43.571428999999966,-0.003143000000000118
0.0,0.0,42.142856999999935,-0.003142000000000089
0.0,0.0,40.71428599999996,-0.0031410000000000604
