#1					
float	CarboHSP_hT	(1702	2)	#T(K)	h(J/kg)
299	734.1775954975
300	1598.7426929428
301	2464.1996180578
302	3330.5463233202
303	4197.7807726762
304	5065.900941439
305	5934.9048161876
306	6804.7903946681
307	7675.5556856946
308	8547.1987090528
309	9419.717495404
310	10293.11008619
311	11167.3745335397
312	12042.5089001769
313	12918.5112593282
314	13795.3796946334
315	14673.1123000556
316	15551.7071797936
317	16431.1624481939
318	17311.4762296653
319	18192.6466585934
320	19074.6718792561
321	19957.5500457412
322	20841.279321863
323	21725.8578810821
324	22611.2839064243
325	23497.5555904013
326	24384.6711349321
327	25272.6287512656
328	26161.4266599034
329	27051.063090524
330	27941.5362819079
331	28832.844481863
332	29724.9859471514
333	30617.958943417
334	31511.7617451131
335	32406.392635432
336	33301.8499062344
337	34198.1318579804
338	35095.2367996602
339	35993.1630487264
340	36891.908931027
341	37791.472780739
342	38691.852940302
343	39593.047760354
344	40495.0555996665
345	41397.8748250809
346	42301.5038114459
347	43205.9409415546
348	44111.1846060837
349	45017.2332035316
350	45924.0851401588
351	46831.7388299277
352	47740.1926944438
353	48649.4451628973
354	49559.494672005
355	50470.3396659534
356	51381.9785963418
357	52294.4099221261
358	53207.6321095638
359	54121.6436321588
360	55036.4429706072
361	55952.0286127433
362	56868.3990534866
363	57785.5527947888
364	58703.4883455822
365	59622.2042217276
366	60541.6989459634
367	61461.9710478549
368	62383.0190637443
369	63304.8415367011
370	64227.4370164732
371	65150.8040594381
372	66074.9412285548
373	66999.8470933161
374	67925.5202297021
375	68851.9592201324
376	69779.1626534209
377	70707.1291247292
378	71635.857235522
379	72565.3455935218
380	73495.5928126645
381	74426.5975130554
382	75358.3583209256
383	76290.8738685889
384	77224.1427943994
385	78158.163742708
386	79092.9353638219
387	80028.4563139622
388	80964.7252552229
389	81901.7408555304
390	82839.5017886028
391	83778.0067339103
392	84717.2543766352
393	85657.243407633
394	86597.9725233934
395	87539.4404260019
396	88481.6458231014
397	89424.5874278548
398	90368.2639589075
399	91312.6741403497
400	92257.8167016809
401	93203.6903777721
402	94150.2939088311
403	95097.6260403655
404	96045.685523148
405	96994.4711131817
406	97943.9815716643
407	98894.2156649543
408	99845.172164537
409	100796.84984699
410	101749.247493951
411	102702.363892083
412	103656.197833043
413	104610.748113446
414	105566.013534838
415	106521.99290366
416	107478.685031218
417	108436.088733649
418	109394.202831894
419	110353.026151664
420	111312.557523409
421	112272.79578229
422	113233.739768147
423	114195.38832547
424	115157.740303369
425	116120.794555546
426	117084.549940263
427	118049.005320317
428	119014.159563006
429	119980.011540109
430	120946.560127848
431	121913.804206868
432	122881.742662206
433	123850.374383265
434	124819.698263783
435	125789.713201813
436	126760.41809969
437	127731.811864008
438	128703.893405591
439	129676.661639472
440	130650.115484861
441	131624.253865124
442	132599.075707755
443	133574.579944354
444	134550.765510596
445	135527.631346215
446	136505.176394971
447	137483.399604631
448	138462.299926943
449	139441.876317613
450	140422.12773628
451	141403.053146493
452	142384.651515688
453	143366.921815164
454	144349.863020062
455	145333.474109339
456	146317.75406575
457	147302.70187582
458	148288.316529827
459	149274.597021777
460	150261.542349381
461	151249.151514037
462	152237.423520806
463	153226.357378393
464	154215.95209912
465	155206.206698913
466	156197.120197276
467	157188.69161727
468	158180.919985496
469	159173.804332071
470	160167.343690611
471	161161.53709821
472	162156.383595417
473	163151.882226221
474	164148.032038028
475	165144.832081644
476	166142.281411255
477	167140.379084405
478	168139.124161983
479	169138.515708198
480	170138.552790564
481	171139.234479882
482	172140.559850218
483	173142.527978887
484	174145.137946437
485	175148.388836626
486	176152.27973641
487	177156.80973592
488	178161.977928447
489	179167.783410426
490	180174.225281416
491	181181.302644083
492	182189.014604184
493	183197.360270553
494	184206.338755076
495	185215.949172684
496	186226.19064133
497	187237.062281974
498	188248.563218569
499	189260.692578041
500	190273.449490277
501	191286.833088105
502	192300.842507284
503	193315.47688648
504	194330.735367258
505	195346.617094063
506	196363.121214204
507	197380.246877842
508	198397.993237972
509	199416.359450408
510	200435.344673769
511	201454.948069466
512	202475.168801684
513	203496.006037368
514	204517.45894621
515	205539.526700635
516	206562.208475785
517	207585.503449505
518	208609.41080233
519	209633.929717471
520	210659.059380798
521	211684.798980832
522	212711.147708726
523	213738.104758255
524	214765.669325801
525	215793.840610338
526	216822.617813421
527	217852.000139174
528	218881.986794273
529	219912.576987935
530	220943.769931907
531	221975.564840449
532	223007.960930325
533	224040.957420789
534	225074.553533571
535	226108.748492867
536	227143.541525324
537	228178.931860032
538	229214.918728505
539	230251.501364675
540	231288.679004877
541	232326.450887839
542	233364.816254667
543	234403.774348835
544	235443.324416175
545	236483.465704861
546	237524.197465403
547	238565.51895063
548	239607.429415682
549	240649.928117997
550	241693.014317302
551	242736.687275599
552	243780.946257155
553	244825.790528491
554	245871.219358373
555	246917.232017798
556	247963.827779983
557	249011.005920357
558	250058.765716549
559	251107.106448378
560	252156.027397839
561	253205.5278491
562	254255.607088482
563	255306.264404456
564	256357.499087632
565	257409.310430743
566	258461.697728642
567	259514.660278289
568	260568.197378739
569	261622.308331136
570	262676.9924387
571	263732.249006718
572	264788.077342535
573	265844.476755545
574	266901.446557178
575	267958.986060896
576	269017.094582176
577	270075.771438507
578	271135.01594938
579	272194.827436274
580	273255.205222652
581	274316.148633949
582	275377.656997563
583	276439.729642847
584	277502.365901098
585	278565.565105553
586	279629.326591373
587	280693.649695638
588	281758.53375734
589	282823.978117371
590	283889.982118514
591	284956.545105438
592	286023.666424685
593	287091.345424667
594	288159.581455652
