deviation_load,deviation_T_in,deviation_T_amb_input,deviation_eta_gross,deviation_eta_Q
0.0,50.000000000000114,0.0,0.005147000000000013,0.1984530000000001
0.0,48.87755100000004,0.0,0.0049180000000000335,0.19379900000000005
0.0,47.75510200000008,0.0,0.004789000000000043,0.18842700000000012
0.0,46.63265300000012,0.0,0.0045720000000000205,0.1837240000000001
0.0,45.51020399999993,0.0,0.004589000000000065,0.17867100000000014
0.0,44.3877550000002,0.0,0.004693000000000058,0.17408200000000018
0.0,43.26530600000024,0.0,0.004037000000000013,0.1690950000000001
0.0,42.14285700000005,0.0,0.004235000000000044,0.16379200000000005
0.0,41.02040800000009,0.0,0.003817000000000015,0.15960400000000008
0.0,39.89795900000013,0.0,0.0035680000000000156,0.1545860000000001
0.0,38.77550999999994,0.0,0.003249000000000002,0.15016700000000005
0.0,37.65306099999998,0.0,0.003033000000000008,0.14569500000000013
0.0,36.53061200000002,0.0,0.0028790000000000204,0.1410450000000001
0.0,35.408163000000286,0.0,0.002460999999999991,0.139749
0.0,34.2857140000001,0.0,0.0023070000000000035,0.13519899999999996
0.0,33.16326500000014,0.0,0.0024680000000000257,0.12739000000000023
0.0,32.04081600000018,0.0,0.0020620000000000083,0.12743800000000016
0.0,30.91836699999999,0.0,0.0014949999999999686,0.12138500000000008
0.0,29.79591800000003,0.0,0.0016100000000000558,0.11833200000000021
0.0,28.67346900000007,0.0,0.0010899999999999799,0.11241900000000005
0.0,27.551020000000108,0.0,0.0009689999999999421,0.10770900000000005
0.0,26.428571000000147,0.0,0.0008790000000000187,0.10335800000000006
0.0,25.306122000000187,0.0,0.0007869999999999822,0.09864600000000012
0.0,24.183673000000226,0.0,0.0006920000000000259,0.0940390000000002
0.0,23.06122400000004,0.0,0.0005840000000000289,0.0897460000000001
0.0,21.93877599999996,0.0,0.00038999999999994595,0.08523600000000009
0.0,20.816327,0.0,0.00030799999999997496,0.08067500000000005
0.0,19.69387800000004,0.0,0.0003589999999999982,0.07582000000000011
0.0,18.57142900000008,0.0,0.0002649999999999597,0.07154400000000005
0.0,17.44898000000012,0.0,-0.00015100000000001224,0.06705000000000005
0.0,16.32653100000016,0.0,-0.00019899999999994922,0.06252200000000019
0.0,15.204082000000199,0.0,-0.00022700000000003273,0.05800700000000014
0.0,14.08163300000001,0.0,-0.00022799999999995046,0.05377200000000015
0.0,12.95918400000005,0.0,-0.00016300000000002424,0.049312000000000134
0.0,11.83673500000009,0.0,-9.899999999996023e-05,0.04448600000000014
0.0,10.71428600000013,0.0,-0.00022199999999999998,0.040465000000000195
0.0,9.591836999999941,0.0,-0.00023699999999998722,0.035075999999999996
0.0,8.469388000000208,0.0,4.2000000000042004e-05,0.028472000000000164
0.0,7.346939000000248,0.0,-0.000160000000000049,0.024304000000000103
0.0,6.22449000000006,0.0,-0.00018199999999995997,0.019685000000000064
0.0,5.102041000000099,0.0,-0.00042600000000003746,0.015898999999999996
0.0,3.979592000000139,0.0,-0.00024999999999997247,0.011566999999999994
0.0,2.857142999999951,0.0,0.00024099999999999122,0.006808000000000036
0.0,1.7346939999999904,0.0,6.20000000000065e-05,0.0034610000000000474
0.0,0.6122450000000299,0.0,6.4000000000064e-05,-0.0004729999999999457
0.0,-0.5102039999999306,0.0,-0.00013599999999996948,-0.0008109999999998951
0.0,-1.632652999999891,0.0,-0.003591999999999984,0.020313000000000137
0.0,-2.7551019999998516,0.0,-0.004016999999999993,0.01978700000000011
0.0,-3.877550999999812,0.0,-0.0011489999999999556,-0.0034999999999999476
0.0,-5.0,0.0,-0.0018579999999999708,-0.003818999999999906
0.55,0.0,0.0,0.04056800000000005,0.5473420000000001
0.533673,0.0,0.0,0.036872000000000016,0.5313990000000002
0.517347,0.0,0.0,0.033275,0.5133670000000001
0.50102,0.0,0.0,0.030289000000000066,0.4974020000000001
0.48469399999999996,0.0,0.0,0.027374999999999983,0.4813210000000001
0.468367,0.0,0.0,0.02436499999999997,0.4655460000000001
0.452041,0.0,0.0,0.02178800000000003,0.4491450000000001
0.43571400000000005,0.0,0.0,0.019417000000000018,0.43317000000000005
0.419388,0.0,0.0,0.017630000000000035,0.41502400000000006
0.403061,0.0,0.0,0.015152999999999972,0.3990830000000001
0.38673500000000005,0.0,0.0,0.013168000000000013,0.3841810000000001
0.37040799999999996,0.0,0.0,0.013331999999999955,0.36733300000000013
0.354082,0.0,0.0,0.011597000000000024,0.3512550000000001
0.337755,0.0,0.0,0.010163000000000033,0.33503000000000016
0.32142899999999996,0.0,0.0,0.008455999999999964,0.3171860000000001
0.3051020000000001,0.0,0.0,0.00805100000000003,0.30089200000000016
0.28877600000000003,0.0,0.0,0.006481999999999988,0.2880410000000001
0.27244899999999994,0.0,0.0,0.0048619999999999775,0.26994300000000004
0.25612200000000007,0.0,0.0,0.004025000000000001,0.25366600000000006
0.239796,0.0,0.0,0.0031090000000000284,0.23713200000000012
0.22346899999999992,0.0,0.0,0.0025239999999999707,0.22114000000000011
0.20714300000000008,0.0,0.0,0.0017750000000000266,0.20490400000000009
0.19081599999999999,0.0,0.0,0.001409000000000049,0.18736200000000014
0.17448999999999992,0.0,0.0,0.0007119999999999904,0.1703070000000002
0.15816299999999994,0.0,0.0,0.0003790000000000182,0.1527090000000001
0.1418370000000001,0.0,0.0,-0.00021400000000004749,0.139193
0.12551,0.0,0.0,-0.00042200000000003346,0.12251200000000007
0.10918400000000006,0.0,0.0,-0.0010940000000000394,0.10604000000000013
0.09285699999999997,0.0,0.0,-0.0012130000000000196,0.08987200000000017
