name,value,error
sun_azimuth,270,
sun_elevation,64.285,
num hst,1,
num rays,100000.0,
potential flux,85504.2,0.0
absorbed flux,69253.0,72.9301
Cosine factor,0.999751,4.37167e-07
shadow loss,5738.17,67.6543
Mising loss,2516.46,43.2741
materials loss,7975.24,6.80789
atomospheric loss,0.0,0.0
,,
Target,,
area,100.0,
front income flux,0.0,0.0
back income flux,69253.0,72.9301
front absorbed flux,0.0,0.0
back absorbed flux,69253.0,72.9301
front efficiency,0.0,0.0
back efficiency,0.809937,0.000852942
,,
Virtual plane,,
area,40000.0,
income flux,0.0,0.0
