deviation_load,deviation_T_in,deviation_T_amb_input,deviation_eta_Q
0.0,50.000000000000114,0.0,0.19818400000000003
0.0,48.87755100000004,0.0,0.193789
0.0,47.75510200000008,0.0,0.188407
0.0,46.63265300000012,0.0,0.18370000000000009
0.0,45.51020400000016,0.0,0.17912800000000006
0.0,44.3877550000002,0.0,0.17370000000000008
0.0,43.26530600000001,0.0,0.16942200000000007
0.0,42.14285700000005,0.0,0.16360000000000008
0.0,41.02040800000009,0.0,0.159621
0.0,39.89795900000013,0.0,0.15446100000000007
0.0,38.77551000000017,0.0,0.150161
0.0,37.65306099999998,0.0,0.14566900000000005
0.0,36.53061200000002,0.0,0.1442650000000001
0.0,35.40816300000006,0.0,0.13673200000000008
0.0,34.2857140000001,0.0,0.13520500000000002
0.0,33.16326500000014,0.0,0.130784
0.0,32.04081600000018,0.0,0.12744900000000003
0.0,30.91836699999999,0.0,0.12144300000000008
0.0,29.79591800000003,0.0,0.11833400000000005
0.0,28.67346900000007,0.0,0.11242800000000008
0.0,27.551020000000108,0.0,0.10771900000000001
0.0,26.428571000000147,0.0,0.10335900000000009
0.0,25.306122000000187,0.0,0.09864700000000004
0.0,24.183673,0.0,0.09404000000000001
0.0,23.06122400000004,0.0,0.08974700000000002
0.0,21.93877600000019,0.0,0.08523700000000001
0.0,20.816327,0.0,0.08067600000000008
0.0,19.69387800000004,0.0,0.07582100000000003
0.0,18.57142900000008,0.0,0.07154500000000008
0.0,17.44898000000012,0.0,0.06705100000000008
0.0,16.32653100000016,0.0,0.06252400000000002
0.0,15.204082000000199,0.0,0.057991000000000015
0.0,14.08163300000001,0.0,0.05406
0.0,12.95918400000005,0.0,0.049336000000000046
0.0,11.83673500000009,0.0,0.044486000000000026
0.0,10.71428600000013,0.0,0.03982600000000003
0.0,9.591837000000169,0.0,0.03513300000000008
0.0,8.46938799999998,0.0,0.028469000000000078
0.0,7.34693900000002,0.0,0.024303000000000075
0.0,6.22449000000006,0.0,0.019686000000000092
0.0,5.102041000000099,0.0,0.015900000000000025
0.0,3.979592000000139,0.0,0.011568000000000023
0.0,2.8571430000001783,0.0,0.006810000000000094
0.0,1.7346939999999904,0.0,0.00346600000000008
0.0,0.6122450000000299,0.0,0.002159000000000022
0.0,-0.5102039999999306,0.0,-0.0008099999999999774
0.0,-1.632652999999891,0.0,0.020315000000000083
0.0,-2.7551019999998516,0.0,0.019788000000000028
0.0,-3.877550999999812,0.0,-0.0034959999999999436
0.0,-5.0,0.0,-0.003819000000000017
0.55,0.0,0.0,0.547235
0.5336730000000001,0.0,0.0,0.5314240000000001
0.517347,0.0,0.0,0.5151810000000001
0.50102,0.0,0.0,0.497421
0.48469399999999996,0.0,0.0,0.481437
0.468367,0.0,0.0,0.465572
0.452041,0.0,0.0,0.44916200000000006
0.43571400000000005,0.0,0.0,0.43315400000000004
0.419388,0.0,0.0,0.415304
0.403061,0.0,0.0,0.39910900000000005
0.38673500000000005,0.0,0.0,0.3841920000000001
0.37040799999999996,0.0,0.0,0.367124
0.354082,0.0,0.0,0.3513050000000001
0.337755,0.0,0.0,0.3349460000000001
0.32142899999999996,0.0,0.0,0.317844
0.305102,0.0,0.0,0.3016310000000001
0.28877600000000003,0.0,0.0,0.288053
0.27244900000000005,0.0,0.0,0.2699370000000001
0.25612199999999996,0.0,0.0,0.25366600000000006
0.239796,0.0,0.0,0.23713400000000007
0.22346900000000003,0.0,0.0,0.22113800000000006
0.20714299999999997,0.0,0.0,0.205986
0.19081599999999999,0.0,0.0,0.187353
0.17449000000000003,0.0,0.0,0.170084
0.15816300000000005,0.0,0.0,0.152702
0.141837,0.0,0.0,0.136289
0.12551,0.0,0.0,0.12252700000000005
0.10918399999999995,0.0,0.0,0.10604100000000005
0.09285699999999997,0.0,0.0,0.08987300000000009
0.07653100000000002,0.0,0.0,0.07338900000000004
0.060204000000000035,0.0,0.0,0.05686100000000005
0.04387799999999997,0.0,0.0,0.04031300000000004
0.027550999999999992,0.0,0.0,0.024407000000000068
0.011224000000000012,0.0,0.0,0.009527000000000063
-0.00510199999999994,0.0,0.0,-0.0020559999999999468
-0.02142899999999992,0.0,0.0,-0.0034159999999998636
-0.03775499999999998,0.0,0.0,-0.005063999999999957
-0.05408199999999996,0.0,0.0,-0.006283999999999956
-0.07040800000000003,0.0,0.0,-0.008111999999999897
-0.086735,0.0,0.0,-0.009477999999999875
-0.10306100000000007,0.0,0.0,-0.011010999999999882
-0.11938800000000005,0.0,0.0,-0.012318999999999969
-0.1357139999999999,0.0,0.0,-0.013714999999999922
-0.1520410000000001,0.0,0.0,-0.014539999999999997
-0.16836699999999993,0.0,0.0,-0.015646999999999966
-0.1846939999999999,0.0,0.0,-0.016489999999999894
-0.20101999999999998,0.0,0.0,-0.01761400000000002
-0.21734699999999996,0.0,0.0,-0.018602999999999925
-0.23367300000000002,0.0,0.0,-0.019608999999999988
-0.25,0.0,0.0,-0.020516999999999896
0.0,0.0,54.99999999999997,-0.002710999999999908
0.0,0.0,53.571428999999966,-0.002710999999999908
0.0,0.0,52.14285699999999,-0.002710999999999908
0.0,0.0,50.71428599999996,-0.002710999999999908
0.0,0.0,49.285713999999984,-0.002710999999999908
0.0,0.0,47.85714299999995,-0.0022199999999999998
0.0,0.0,46.42857099999998,-0.0022199999999999998
0.0,0.0,45.0,-0.0022199999999999998
0.0,0.0,43.571428999999966,-0.0022199999999999998
0.0,0.0,42.14285699999999,-0.0022209999999999175
0.0,0.0,40.71428599999996,-0.0022209999999999175
