P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1023.150000,308.150000,0.485698,0.798266,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1024.272449,308.150000,0.485640,0.803681,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1025.394898,308.150000,0.486027,0.808016,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1026.517347,308.150000,0.486209,0.812659,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1027.639796,308.150000,0.486543,0.816959,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1028.762245,308.150000,0.486671,0.821675,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1029.884694,308.150000,0.486752,0.826348,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1031.007143,308.150000,0.487053,0.831230,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1032.129592,308.150000,0.487473,0.835222,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1033.252041,308.150000,0.486958,0.841184,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1034.374490,308.150000,0.488027,0.844602,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1035.496939,308.150000,0.488242,0.849054,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1036.619388,308.150000,0.488418,0.853793,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1037.741837,308.150000,0.488589,0.858574,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1038.864286,308.150000,0.488714,0.863153,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1039.986735,308.150000,0.488833,0.867669,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1041.109184,308.150000,0.489479,0.872949,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1042.231633,308.150000,0.489724,0.877286,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1043.354082,308.150000,0.489829,0.877982,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1044.476531,308.150000,0.490073,0.886319,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1045.598980,308.150000,0.489932,0.887733,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1046.721429,308.150000,0.490341,0.892134,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1047.843878,308.150000,0.489989,0.897736,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1048.966327,308.150000,0.490123,0.902471,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1050.088776,308.150000,0.490182,0.907347,
555555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1051.211224,308.150000,0.490201,0.912226,
