0,1,2,3,4
563.15,1893335.66611709,2152187.98496997,2320410.41856963,2440852.85874003
588.15,1813652.74698415,2072818.51584249,2243148.28675984,2366100.98844203
613.15,1706149.202324,1962057.02198647,2132491.65821929,2256724.31030527
638.15,1586869.26174483,1827577.09705745,1988102.7008227,2105218.56985378
663.15,1472929.52103052,1697862.77058307,1847850.42067565,1957258.81324648
688.15,1361943.9614255,1571881.34929394,1712172.67440418,1814596.11943895
713.15,1256789.13817891,1451895.44914029,1582136.69047244,1677202.08873249
738.15,1155759.73138803,1335911.35346439,1456066.27819817,1543704.98194011
763.15,1059984.33742979,1226675.42615471,1337982.33487923,1419231.40116972
788.15,970674.672293248,1123885.48788757,1226109.59108548,1300676.89392463
813.15,885236.935871373,1025611.7842002,1119247.85201671,1187531.12924986
838.15,803648.581572675,931590.73699001,1017078.63392832,1079564.07888943
