# T_int(K),TSod_metal_u1.0(K),fluxSod_u1.0(W/(m^2.K)),TSod_metal_u2.0(K),fluxSod_u2.0(W/(m^2.K)),TSod_metal_u3.0(K),fluxSod_u3.0(W/(m^2.K)),TSod_metal_u4.0(K),fluxSod_u4.0(W/(m^2.K))
5.631499999999999773e+02,8.233340734240890697e+02,2.192665700602083467e+06,8.199520926773117253e+02,2.366936832487982232e+06,8.175034320617883168e+02,2.485364705583128147e+06,8.156141800607661025e+02,2.572901863940070383e+06
5.881499999999999773e+02,8.400637104144334444e+02,2.111346471019699238e+06,8.375160689652661858e+02,2.288530054829447065e+06,8.356573053118720509e+02,2.409914882706460077e+06,8.342154121179066806e+02,2.500177022836355027e+06
6.131499999999999773e+02,8.527894025520594141e+02,1.997999237325510709e+06,8.512260588142222559e+02,2.176050230158549733e+06,8.500747894792150419e+02,2.299222514845462982e+06,8.491758140088330720e+02,2.391480590114424471e+06
6.381499999999999773e+02,8.623502925738509930e+02,1.860202711599647300e+06,8.608952889611164210e+02,2.028356569521521917e+06,8.598202535108806615e+02,2.144754373353931587e+06,8.589790977650383184e+02,2.231975819373694248e+06
6.631499999999999773e+02,8.722628946483317804e+02,1.727303351535352645e+06,8.708267334641838033e+02,1.884820039185184753e+06,8.697624729707115421e+02,1.993799754733794834e+06,8.689283494090449267e+02,2.075428717921561096e+06
6.881499999999999773e+02,8.824131781837389781e+02,1.598295255114147672e+06,8.810923991365066286e+02,1.746032163797001587e+06,8.801093932859141660e+02,1.848303914246929111e+06,8.793369651447845854e+02,1.924938558208490489e+06
7.131499999999999773e+02,8.930901481588354045e+02,1.475458353330267826e+06,8.918090024812871661e+02,1.612968320840097265e+06,8.908513898589693554e+02,1.708107509882857092e+06,8.900971202427186881e+02,1.779365136370035820e+06
7.381499999999999773e+02,9.040572355992140956e+02,1.356785302858102834e+06,9.027989766509346055e+02,1.483970640769205522e+06,9.018537928966738946e+02,1.571869424614433665e+06,9.011073417829528580e+02,1.637647027617137181e+06
7.631499999999999773e+02,9.156710175165309238e+02,1.245057246497467393e+06,9.145407480565985452e+02,1.363205452387438621e+06,9.136853719770043654e+02,1.444898376753898803e+06,9.130070115963034141e+02,1.506052076147275278e+06
7.881499999999999773e+02,9.279098247615841046e+02,1.139980745248568011e+06,9.268318949448907915e+02,1.248773220063402783e+06,9.260094193123359219e+02,1.323916822137130890e+06,9.253543352925930776e+02,1.380120298754392657e+06
8.131499999999999773e+02,9.405384693353895500e+02,1.039584174775509862e+06,9.395495458861093994e+02,1.139507074435261311e+06,9.387864997147104305e+02,1.208479815015327185e+06,9.381751712478136369e+02,1.260040538199619157e+06
8.381499999999999773e+02,9.535335697388607059e+02,9.436047466173002031e+05,9.526648246237979265e+02,1.035080643376740161e+06,9.519994233924453511e+02,1.098356795174031518e+06,9.514618517867570517e+02,1.145671698161711451e+06
