# T_int(K),TSod_metal_u1.0(K),fluxSod_u1.0(W/(m^2.K)),TSod_metal_u2.0(K),fluxSod_u2.0(W/(m^2.K)),TSod_metal_u3.0(K),fluxSod_u3.0(W/(m^2.K)),TSod_metal_u4.0(K),fluxSod_u4.0(W/(m^2.K))
5.631499999999999773e+02,8.293423089362736391e+02,1.802435600812808145e+06,8.245926103701170859e+02,2.086884711948336335e+06,8.211692942078768738e+02,2.269921332885009237e+06,8.185599516778032694e+02,2.400050795728922356e+06
5.881499999999999773e+02,8.444907352236723455e+02,1.724088259897492826e+06,8.409814982511227299e+02,2.007634241252211621e+06,8.384194658261773156e+02,2.192305362146303058e+06,8.364500888883317202e+02,2.324752935812825803e+06
6.131499999999999773e+02,8.554381475957566181e+02,1.619268234430589247e+06,8.533328254341790853e+02,1.897859011879789643e+06,8.517718329822905616e+02,2.081893039049417013e+06,8.505597403799724816e+02,2.215263046110604890e+06
6.381499999999999773e+02,8.647747960153501481e+02,1.505738196002351586e+06,8.628393900199343989e+02,1.767481897785505280e+06,8.613933866186158639e+02,1.940655140268716961e+06,8.602660882707558585e+02,2.066285976394242607e+06
6.631499999999999773e+02,8.746153527493154343e+02,1.397576306170923170e+06,8.727286115803876783e+02,1.641998376006050501e+06,8.713079336685631233e+02,1.803713996409201296e+06,8.701962590045814068e+02,1.921021530258497456e+06
6.881499999999999773e+02,8.845883271963252810e+02,1.292250378954874119e+06,8.828245397152930991e+02,1.519960325100858929e+06,8.815248628814889571e+02,1.671082467320288066e+06,8.805025587287118469e+02,1.780815076490610139e+06
7.131499999999999773e+02,8.951004055837921669e+02,1.192323813946697162e+06,8.934718235295256363e+02,1.403951186497289222e+06,8.922179135415439077e+02,1.544170554330143379e+06,8.912263647675840730e+02,1.645972164664126234e+06
7.381499999999999773e+02,9.059812678975955578e+02,1.096586136824150803e+06,9.044136843303667774e+02,1.291899034582291264e+06,9.031893230759183098e+02,1.421210167356330669e+06,9.022151609419984197e+02,1.515028428201639326e+06
7.631499999999999773e+02,9.173432654973697709e+02,1.005657876929880003e+06,9.159727639293761285e+02,1.186177435783703113e+06,9.148805751617114765e+02,1.305858135728691705e+06,9.140037950220523726e+02,1.392769235901789740e+06
7.881499999999999773e+02,9.294436427037836665e+02,9.210542545941965654e+05,9.281782053232589078e+02,1.086889762121596839e+06,9.271444691263354798e+02,1.196759533268494532e+06,9.263062417976084362e+02,1.276495521857834654e+06
8.131499999999999773e+02,9.418752604205212720e+02,8.400868327755177161e+05,9.407641627976120162e+02,9.919240883412827970e+05,9.398244514024005412e+02,1.092507840499971062e+06,9.390520245603379408e+02,1.165489843918793136e+06
8.381499999999999773e+02,9.546554711780134994e+02,7.627829098533104407e+05,9.537147907078024218e+02,9.010813933589430526e+05,9.528890121492395338e+02,9.927629231383575825e+05,9.522209888165510847e+02,1.059497211232173722e+06
