Epochs_needed
500
519
525
1352
881
582
513
555
526
500
512
503
794
500
513
543
522
501
500
684
500
629
522
1485
507
535
500
660
500
500
500
936
526
537
500
539
859
641
500
500
502
513
523
670
500
605
500
519
500
500
536
607
500
846
548
508
566
526
500
500
501
521
895
500
796
506
500
523
500
500
536
907
504
510
514
500
500
513
552
500
731
500
500
522
500
895
500
507
522
596
501
500
555
508
575
500
500
501
500
500
500
541
1018
578
504
515
1237
660
551
531
500
500
500
509
510
500
500
509
678
500
500
506
500
604
520
500
555
500
506
500
681
665
500
568
521
502
506
500
692
500
512
759
500
524
598
529
515
518
542
794
1187
531
506
515
730
589
517
845
507
719
542
571
507
500
759
500
514
500
500
991
500
521
500
508
895
633
500
563
500
500
518
500
542
645
500
542
500
513
512
500
534
708
500
573
500
531
500
500
522
502
500
500
571
834
603
504
505
500
655
512
537
500
535
500
500
500
661
500
665
500
726
534
517
500
500
500
500
912
552
513
617
500
505
710
545
502
721
1621
566
500
500
500
500
528
500
500
500
607
833
620
500
541
539
500
537
734
510
500
1096
500
667
615
515
500
500
517
1057
500
515
500
500
500
500
587
537
500
500
509
500
573
502
500
506
530
512
565
542
500
500
500
500
500
673
507
500
535
501
500
500
506
540
500
866
500
500
500
720
594
500
500
500
512
500
500
515
500
815
500
500
500
553
500
500
500
500
502
500
552
508
524
500
537
517
503
500
500
537
502
500
506
781
518
500
500
689
507
532
508
500
527
500
557
1509
611
515
500
500
500
500
520
527
1265
500
557
582
500
500
500
570
508
812
500
500
500
534
500
512
598
500
500
509
552
500
500
577
500
500
559
500
500
501
511
500
1080
577
667
672
500
602
567
