Name,Value,+/-Error
Qall (kW),47.9414,0.0
Qcos (kW),13.051566736,0.0007063446169
Qshad (kW),0.0188449,0.00256378
Qfield_abs (kW),3.4870988364,0.000265930265412
Qblcok (kW),2.1178895276,0.0251190814806
Qatm (kW),0.0,0.0
Qspil (kW),0.0,0.0
Qrefl (kW),0.0,0.0353621272844
Qabs (kW),29.266,0.0250048
rays,100000.0,-
